Character,Hex,Logic,Type,Name,Braille
תֵּ,05EA+05B5+05BC,8.0,always,letter tav with dagesh,⠳⠌
תֶּ,05EA+05B6+05BC,8.0,always,letter tav with dagesh,⠳⠑
תַּ,05EA+05B7+05BC,8.0,always,letter tav with dagesh,⠳⠉
תָּ,05EA+05B8+05BC,8.0,always,letter tav dagesh with qamats,⠳⠣
תֱּ,05EA+05B1+05BC,8.0,always,letter tav dagesh with hataf segol,⠳⠢
תֲּ,05EA+05B2+05BC,8.0,always,letter tav dagesh with hataf patah,⠳⠒
תֳּ,05EA+05B3+05BC,8.0,always,letter tav dagesh with hataf qamats,⠳⠜
תִּ,05EA+05B4+05BC,8.0,always,letter tav  dagesh with hiriq,⠳⠊
תֵּ,05EA+05B5+05BC,8.0,always,letter tav  dagesh with tsere,⠳⠌
תֶּ,05EA+05B6+05BC,8.0,always,letter tav  dagesh with segol,⠳⠑
תַּ,05EA+05B7+05BC,8.0,always,letter tav  dagesh with patah,⠳⠉
תָּ,05EA+05B8+05BC,8.0,always,letter tav dagesh  with qamats,⠳⠣
תֱּ,05EA+05B1+05BC,8.0,always,letter tav dagesh  hataf segol,⠳⠢
תֲּ,05EA+05B2+05BC,8.0,always,letter tav dagesh  hataf patah,⠳⠒
תֳּ,05EA+05B3+05BC,8.0,always,letter tav dagesh  hataf qamats,⠳⠜
ת,05EA,8.0,always,tav,⠹
תּ,FB4A,10.0,always,tav with daggesh,⠳
