Character,Hex,Type,Name,Braille
𒃗,120D7,letter,CUNEIFORM SIGN GA2 TIMES ISH PLUS HU PLUS ASH,⠛⠁⠡⠊⠩⠬⠓⠥⠬⠁⠩
𒃘,120D8,letter,CUNEIFORM SIGN GA2 TIMES KAK,⠛⠁⠡⠅⠁⠅
𒃙,120D9,letter,CUNEIFORM SIGN GA2 TIMES KASKAL,⠛⠁⠡⠅⠁⠎⠅⠁⠇
𒃚,120DA,letter,CUNEIFORM SIGN GA2 TIMES KID,⠛⠁⠡⠅⠊⠙
𒃛,120DB,letter,CUNEIFORM SIGN GA2 TIMES KID PLUS LAL,⠛⠁⠡⠅⠊⠙⠬⠇⠁⠇
𒃜,120DC,letter,CUNEIFORM SIGN GA2 TIMES KU3 PLUS AN,⠛⠁⠡⠅⠥⠒⠬⠁⠝
𒃝,120DD,letter,CUNEIFORM SIGN GA2 TIMES LA,⠛⠁⠡⠇⠁
𒃞,120DE,letter,CUNEIFORM SIGN GA2 TIMES ME PLUS EN,⠛⠁⠡⠍⠑⠬⠑⠝
𒃟,120DF,letter,CUNEIFORM SIGN GA2 TIMES MI,⠛⠁⠡⠍⠊
𒃠,120,letter,CUNEIFORM SIGN GA2 TIMES NUN,⠛⠁⠡⠝⠥⠝
𒃡,1200,letter,CUNEIFORM SIGN GA2 TIMES NUN OVER NUN,⠛⠁⠡⠝⠥⠝⠌⠝⠥⠝
𒃢,12000,letter,CUNEIFORM SIGN GA2 TIMES PA,⠛⠁⠡⠏⠁
𒃣,120000,letter,CUNEIFORM SIGN GA2 TIMES SAL,⠛⠁⠡⠎⠁⠇
𒃤,1200000,letter,CUNEIFORM SIGN GA2 TIMES SAR,⠛⠁⠡⠎⠜
𒃥,12000000,letter,CUNEIFORM SIGN GA2 TIMES SHE,⠛⠁⠡⠩⠑
𒃦,120000000,letter,CUNEIFORM SIGN GA2 TIMES SHE PLUS TUR,⠛⠁⠡⠩⠑⠬⠞⠥⠗
𒃧,1200000000,letter,CUNEIFORM SIGN GA2 TIMES SHID,⠛⠁⠡⠩⠊⠙
𒃨,12000000000,letter,CUNEIFORM SIGN GA2 TIMES SUM,⠛⠁⠡⠎⠥⠍
𒃩,120000000000,letter,CUNEIFORM SIGN GA2 TIMES TAK4,⠛⠁⠡⠞⠁⠅⠲
𒃪,120EA,letter,CUNEIFORM SIGN GA2 TIMES U,⠛⠁⠡⠥
𒃫,120EB,letter,CUNEIFORM SIGN GA2 TIMES UD,⠛⠁⠡⠥⠙
𒃬,120EC,letter,CUNEIFORM SIGN GA2 TIMES UD PLUS DU,⠛⠁⠡⠥⠙⠬⠙⠥
𒃭,120ED,letter,CUNEIFORM SIGN GA2 OVER GA2,⠛⠁⠌⠛⠁
𒃮,120EE,letter,CUNEIFORM SIGN GABA,⠛⠁⠃⠁
𒃯,120EF,letter,CUNEIFORM SIGN GABA CROSSING GABA,⠛⠁⠃⠁⠯⠛⠁⠃⠁
𒃰,120F0,letter,CUNEIFORM SIGN GAD,⠛⠁⠙
𒃱,120F1,letter,CUNEIFORM SIGN GAD OVER GAD GAR OVER GAR,⠛⠁⠙⠌⠛⠁⠙ ⠛⠜⠌⠛⠜
𒃲,120F2,letter,CUNEIFORM SIGN GAL,⠛⠁⠇
