Character,Hex,AmericanTranslitteration,Logic,Type,Name,Braille
𒁰,12070,dar3,166,letter,en,en
𒁴,12074,dim,167,letter,buru14,buru14
𒁵,12075,mun,168,letter,dar3,dar3
𒁑,12051,bulug,169,letter,dim,dim
𒊿,122bf,cen,17,letter,mun,mun
𒋭,122ed,lal,170,letter,bulug,bulug
𒆯,121af,ku7,171,letter,cen,cen
𒊓,12293,sa,172,letter,lal3,lal3
𒀿,1203f,acgab,173,letter,ku7,ku7
𒃷,120f7,gan2,174,letter,sa,sa
𒃸,120f8,gan2,174,letter,acgab,acgab
𒄘,12118,gu2,176,letter,gan2,gan2
𒄛,1211b,usan,177,letter,gan2,gan2
𒄙,12119,dur,178,letter,gu2,gu2
𒄘,12118,gun,179,letter,usan,usan
𒌦,12326,Un,111,letter,dur,dur
𒀴,12034,arad,18,letter,gun,gun
𒇩,121E9,LAGABxUD,783,letter,Un,Un
