"Character(decimal)","Decimal","Character(hex)","Hex","Name","Braille"
"𒇪","74218","𒇪","121EA","CUNEIFORM SIGN LAGAB TIMES USH","lagab[q~*]ush"
"𒇫","74219","𒇫","121EB","CUNEIFORM SIGN LAGAB SQUARED","lagab[q~^][q~^]"
"𒇬","74220","𒇬","121EC","CUNEIFORM SIGN LAGAR","lagar"
"𒇭","74221","𒇭","121ED","CUNEIFORM SIGN LAGAR TIMES SHE","lagar[q~*]she"
"𒇮","74222","𒇮","121EE","CUNEIFORM SIGN LAGAR TIMES SHE PLUS SUM","lagar[q~*]she[q~+]sum"
"𒇯","74223","𒇯","121EF","CUNEIFORM SIGN LAGAR GUNU","lagar gunu"
"𒇰","74224","𒇰","121F0","CUNEIFORM SIGN LAGAR GUNU OVER LAGAR GUNU SHE","lagar gunu[q~/]lagar gunu she"
"𒇱","74225","𒇱","121F1","CUNEIFORM SIGN LAHSHU","lahshu"
"𒇲","74226","𒇲","121F2","CUNEIFORM SIGN LAL","lal"
"𒇳","74227","𒇳","121F3","CUNEIFORM SIGN LAL TIMES LAL","lal[q~*]lal"
"𒇴","74228","𒇴","121F4","CUNEIFORM SIGN LAM","lam"
"𒇵","74229","𒇵","121F5","CUNEIFORM SIGN LAM TIMES KUR","lam[q~*]kur"
"𒇶","74230","𒇶","121F6","CUNEIFORM SIGN LAM TIMES KUR PLUS RU","lam[q~*]kur[q~+]ru"
"𒇷","74231","𒇷","121F7","CUNEIFORM SIGN LI","li"
"𒇸","74232","𒇸","121F8","CUNEIFORM SIGN LIL","lil"
"𒇹","74233","𒇹","121F9","CUNEIFORM SIGN LIMMU2","limmu2"
"𒇺","74234","𒇺","121FA","CUNEIFORM SIGN LISH","lish"
"𒇻","74235","𒇻","121FB","CUNEIFORM SIGN LU","lu"
"𒇼","74236","𒇼","121FC","CUNEIFORM SIGN LU TIMES BAD","lu[q~*]bad"
"𒇽","74237","𒇽","121FD","CUNEIFORM SIGN LU2","lu2"
"𒇾","74238","𒇾","121FE","CUNEIFORM SIGN LU2 TIMES AL","lu2[q~*]al"
"𒇿","74239","𒇿","121FF","CUNEIFORM SIGN LU2 TIMES BAD","lu2[q~*]bad"
"𒈀","74240","𒈀","12200","CUNEIFORM SIGN LU2 TIMES ESH2","lu2[q~*]esh2"
"𒈁","74241","𒈁","12201","CUNEIFORM SIGN LU2 TIMES ESH2 TENU","lu2[q~*]esh2 tenu"
"𒈂","74242","𒈂","12202","CUNEIFORM SIGN LU2 TIMES GAN2 TENU","lu2[q~*]gan2 tenu"
"𒈃","74243","𒈃","12203","CUNEIFORM SIGN LU2 TIMES HI TIMES BAD","lu2[q~*]hi[q~*]bad"
"𒈄","74244","𒈄","12204","CUNEIFORM SIGN LU2 TIMES IM","lu2[q~*]im"
"𒈅","74245","𒈅","12205","CUNEIFORM SIGN LU2 TIMES KAD2","lu2[q~*]kad2"
"𒈆","74246","𒈆","12206","CUNEIFORM SIGN LU2 TIMES KAD3","lu2[q~*]kad3"
"𒈇","74247","𒈇","12207","CUNEIFORM SIGN LU2 TIMES KAD3 PLUS ASH","lu2[q~*]kad3[q~+]ash"
"𒈈","74248","𒈈","12208","CUNEIFORM SIGN LU2 TIMES KI","lu2[q~*]ki"
"𒈉","74249","𒈉","12209","CUNEIFORM SIGN LU2 TIMES LA PLUS ASH","lu2[q~*]la[q~+]ash"
"𒈊","74250","𒈊","1220A","CUNEIFORM SIGN LU2 TIMES LAGAB","lu2[q~*]lagab"
"𒈋","74251","𒈋","1220B","CUNEIFORM SIGN LU2 TIMES ME PLUS EN","lu2[q~*]me[q~+]en"
"𒈌","74252","𒈌","1220C","CUNEIFORM SIGN LU2 TIMES NE","lu2[q~*]ne"
"𒈍","74253","𒈍","1220D","CUNEIFORM SIGN LU2 TIMES NU","lu2[q~*]nu"
"𒈎","74254","𒈎","1220E","CUNEIFORM SIGN LU2 TIMES SI PLUS ASH","lu2[q~*]si[q~+]ash"
"𒈏","74255","𒈏","1220F","CUNEIFORM SIGN LU2 TIMES SIK2 PLUS BU","lu2[q~*]sik2[q~+]bu"
"𒈐","74256","𒈐","12210","CUNEIFORM SIGN LU2 TIMES TUG2","lu2[q~*]tug2"
"𒈑","74257","𒈑","12211","CUNEIFORM SIGN LU2 TENU","lu2 tenu"
"𒈒","74258","𒈒","12212","CUNEIFORM SIGN LU2 CROSSING LU2","lu2[q~&]lu2"
"𒈓","74259","𒈓","12213","CUNEIFORM SIGN LU2 OPPOSING LU2","lu2[q~$]lu2"
"𒈔","74260","𒈔","12214","CUNEIFORM SIGN LU2 SQUARED","lu2[q~^][q~^]"
"𒈕","74261","𒈕","12215","CUNEIFORM SIGN LU2 SHESHIG","lu2 sheshig"
"𒈖","74262","𒈖","12216","CUNEIFORM SIGN LU3","lu3"
"𒈗","74263","𒈗","12217","CUNEIFORM SIGN LUGAL","lugal"
"𒈘","74264","𒈘","12218","CUNEIFORM SIGN LUGAL OVER LUGAL","lugal[q~/]lugal"
"𒈙","74265","𒈙","12219","CUNEIFORM SIGN LUGAL OPPOSING LUGAL","lugal[q~$]lugal"
"𒈚","74266","𒈚","1221A","CUNEIFORM SIGN LUGAL SHESHIG","lugal sheshig"
"𒈛","74267","𒈛","1221B","CUNEIFORM SIGN LUH","luh"
"𒈜","74268","𒈜","1221C","CUNEIFORM SIGN LUL","lul"
"𒈝","74269","𒈝","1221D","CUNEIFORM SIGN LUM","lum"
"𒈞","74270","𒈞","1221E","CUNEIFORM SIGN LUM OVER LUM","lum[q~/]lum"
"𒈟","74271","𒈟","1221F","CUNEIFORM SIGN LUM OVER LUM GAR OVER GAR","lum[q~/]lum gar[q~/]gar"
"𒈠","74272","𒈠","12220","CUNEIFORM SIGN MA","ma"
"𒈡","74273","𒈡","12221","CUNEIFORM SIGN MA TIMES TAK4","ma[q~*]tak4"
"𒈢","74274","𒈢","12222","CUNEIFORM SIGN MA GUNU","ma gunu"
"𒈣","74275","𒈣","12223","CUNEIFORM SIGN MA2","ma2"
"𒈤","74276","𒈤","12224","CUNEIFORM SIGN MAH","mah"
"𒈥","74277","𒈥","12225","CUNEIFORM SIGN MAR","mar"
"𒈦","74278","𒈦","12226","CUNEIFORM SIGN MASH","mash"
"𒈧","74279","𒈧","12227","CUNEIFORM SIGN MASH2","mash2"
"𒈨","74280","𒈨","12228","CUNEIFORM SIGN ME","me"
"𒈩","74281","𒈩","12229","CUNEIFORM SIGN MES","mes"
"𒈪","74282","𒈪","1222A","CUNEIFORM SIGN MI","mi"
"𒈫","74283","𒈫","1222B","CUNEIFORM SIGN MIN","min"
"𒈬","74284","𒈬","1222C","CUNEIFORM SIGN MU","mu"
"𒈭","74285","𒈭","1222D","CUNEIFORM SIGN MU OVER MU","mu[q~/]mu"
"𒈮","74286","𒈮","1222E","CUNEIFORM SIGN MUG","mug"
"𒈯","74287","𒈯","1222F","CUNEIFORM SIGN MUG GUNU","mug gunu"
"𒈰","74288","𒈰","12230","CUNEIFORM SIGN MUNSUB","munsub"
"𒈱","74289","𒈱","12231","CUNEIFORM SIGN MURGU2","murgu2"
"𒈲","74290","𒈲","12232","CUNEIFORM SIGN MUSH","mush"
"𒈳","74291","𒈳","12233","CUNEIFORM SIGN MUSH TIMES A","mush[q~*]a"
"𒈴","74292","𒈴","12234","CUNEIFORM SIGN MUSH TIMES KUR","mush[q~*]kur"
"𒈵","74293","𒈵","12235","CUNEIFORM SIGN MUSH TIMES ZA","mush[q~*]za"
"𒈶","74294","𒈶","12236","CUNEIFORM SIGN MUSH OVER MUSH","mush[q~/]mush"
"𒈷","74295","𒈷","12237","CUNEIFORM SIGN MUSH OVER MUSH TIMES A PLUS NA","mush[q~/]mush[q~*]a[q~+]na"
"𒈸","74296","𒈸","12238","CUNEIFORM SIGN MUSH CROSSING MUSH","mush[q~&]mush"
"𒈹","74297","𒈹","12239","CUNEIFORM SIGN MUSH3","mush3"
"𒈺","74298","𒈺","1223A","CUNEIFORM SIGN MUSH3 TIMES A","mush3[q~*]a"
"𒈻","74299","𒈻","1223B","CUNEIFORM SIGN MUSH3 TIMES A PLUS DI","mush3[q~*]a[q~+]di"
"𒈼","74300","𒈼","1223C","CUNEIFORM SIGN MUSH3 TIMES DI","mush3[q~*]di"
"𒈽","74301","𒈽","1223D","CUNEIFORM SIGN MUSH3 GUNU","mush3 gunu"
"𒈾","74302","𒈾","1223E","CUNEIFORM SIGN NA","na"
"𒈿","74303","𒈿","1223F","CUNEIFORM SIGN NA2","na2"
"𒉀","74304","𒉀","12240","CUNEIFORM SIGN NAGA","naga"
"𒉁","74305","𒉁","12241","CUNEIFORM SIGN NAGA INVERTED","naga inverted"
"𒉂","74306","𒉂","12242","CUNEIFORM SIGN NAGA TIMES SHU TENU","naga[q~*]shu tenu"
"𒉃","74307","𒉃","12243","CUNEIFORM SIGN NAGA OPPOSING NAGA","naga[q~$]naga"
"𒉄","74308","𒉄","12244","CUNEIFORM SIGN NAGAR","nagar"
"𒉅","74309","𒉅","12245","CUNEIFORM SIGN NAM NUTILLU","nam nutillu"
"𒉆","74310","𒉆","12246","CUNEIFORM SIGN NAM","nam"
"𒉇","74311","𒉇","12247","CUNEIFORM SIGN NAM2","nam2"
"𒉈","74312","𒉈","12248","CUNEIFORM SIGN NE","ne"
"𒉉","74313","𒉉","12249","CUNEIFORM SIGN NE TIMES A","ne[q~*]a"
"𒉊","74314","𒉊","1224A","CUNEIFORM SIGN NE TIMES UD","ne[q~*]ud"
"𒉋","74315","𒉋","1224B","CUNEIFORM SIGN NE SHESHIG","ne sheshig"
"𒉌","74316","𒉌","1224C","CUNEIFORM SIGN NI","ni"
