Character,Hex,Type,Name,Braille
𒇺,121FA,letter,LIMMU2,LIMMU2
𒇻,121FB,letter,DILIM,DILIM
𒇼,121FC,letter,UDU,UDU
𒇽,121FD,letter,AD,AD
𒇾,121FE,letter,Person,Person
𒇿,121FF,letter,LU2xAL,LU2xAL
𒈀,12200,letter,LU2xBAD,LU2xBAD
𒈁,12201,letter,LU2xEsh2,LU2xEsh2
𒈂,12202,letter,LU2xEsh2tenu,LU2xEsh2tenu
𒈃,12203,letter,LU2xGAN2tenu,LU2xGAN2tenu
𒈄,12204,letter,LU2xHIxBAD,LU2xHIxBAD
𒈅,12205,letter,LU2xIM,LU2xIM
𒇬,121EC,letter,LAGABsquared,LAGABsquared
𒇪,121EA,letter,LAGABxUD,LAGABxUD
𒈿,1223F,letter,Na,Na
𒇨,121E8,letter,LAGABxU2+Ash,LAGABxU2+Ash
𒇏,121CF,letter,LAGABxKI,LAGABxKI
𒇐,121D0,letter,LAGABxKIN,LAGABxKIN
𒇑,121D1,letter,GARIM,GARIM
𒇒,121D2,letter,LAGABxKUL,LAGABxKUL
𒇓,121D3,letter,LAGABxKUL+HI+A,LAGABxKUL+HI+A
𒇔,121D4,letter,NIGIN,NIGIN
𒇕,121D5,letter,LAGABxLIsh,LAGABxLIsh
𒇖,121D6,letter,LAGABxLU,LAGABxLU
𒇗,121D7,letter,LAGABxLUL,LAGABxLUL
𒇘,121D8,letter,LAGABxME,LAGABxME
𒇙,121D9,letter,LAGABxME+EN,LAGABxME+EN
𒇚,121DA,letter,LAGABxMUsh,LAGABxMUsh
𒇛,121DB,letter,UDUB,UDUB
𒇜,121DC,letter,LAGABxshE+SUM,LAGABxshE+SUM
𒇝,121DD,letter,LAGABxshITA+GIsh+ERIN2,LAGABxshITA+GIsh+ERIN2
𒇞,121DE,letter,LAGABxshITA+GIshtenu,LAGABxshITA+GIshtenu
𒇟,121DF,letter,LAGABxshU2,LAGABxshU2
𒇠,121E0,letter,LAGABxshU2+shU2,LAGABxshU2+shU2
𒇡,121E1,letter,ZAR,ZAR
𒇢,121E2,letter,LAGABxTAG,LAGABxTAG
𒇣,121E3,letter,LAGABxTAK4,LAGABxTAK4
𒇤,121E4,letter,LAGABxTE+A+SU+NA,LAGABxTE+A+SU+NA
𒇥,121E5,letter,GIGIR,GIGIR
𒇦,121E6,letter,LAGABxU+A,LAGABxU+A
𒇧,121E7,letter,BUL,BUL
𒈆,12206,letter,LU2xKAD2,LU2xKAD2
𒈇,12207,letter,LU2xKAD3,LU2xKAD3
𒈈,12208,letter,LU2xKAD3+Ash,LU2xKAD3+Ash
𒈉,12209,letter,LU2xKI,LU2xKI
𒈦,12226,letter,MAR,MAR
𒈧,12227,letter,MAsh,MAsh
𒈨,12228,letter,MAsh2,MAsh2
𒈩,12229,letter,ME,ME
𒈪,1222A,letter,RID,RID
𒈫,1222B,letter,GI6,GI6
𒈬,1222C,letter,MIN,MIN
𒈭,1222D,letter,GU10,GU10
𒈮,1222E,letter,TAH,TAH
𒈯,1222F,letter,oakum,oakum
𒈰,12230,letter,ZADIM,ZADIM
𒈱,12231,letter,MUNshUB,MUNshUB
𒈲,12232,letter,MURGU2,MURGU2
𒈳,12233,letter,MUsh,MUsh
𒈴,12234,letter,MUshxA,MUshxA
